stat_time_day,platform,cpm,clicks,ctr,impressions,conversion,cpc,spend,conversion_rate,cost_per_conversion,shopping,shopping_sigla
2025-06-14 00:00:00,ANDROID,2.66,23,0.16,14735,0,1.7,39.2,0.0,0.0,Nacoes Shopping,NS
2025-06-14 00:00:00,IPHONE,2.31,20,0.25,8048,0,0.93,18.57,0.0,0.0,Nacoes Shopping,NS
2025-06-14 00:00:00,IPAD,2.11,0,0.0,19,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-06-15 00:00:00,ANDROID,2.85,2,0.02,8148,0,11.63,23.25,0.0,0.0,Nacoes Shopping,NS
2025-06-15 00:00:00,IPHONE,2.17,9,0.2,4400,0,1.06,9.55,0.0,0.0,Nacoes Shopping,NS
2025-06-15 00:00:00,IPAD,0.0,0,0.0,6,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-16 00:00:00,ANDROID,2.09,0,0.0,3025,0,0.0,6.32,0.0,0.0,Nacoes Shopping,NS
2025-06-16 00:00:00,IPHONE,1.89,0,0.0,1854,0,0.0,3.5,0.0,0.0,Nacoes Shopping,NS
2025-06-16 00:00:00,IPAD,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-17 00:00:00,ANDROID,2.08,0,0.0,2887,0,0.0,6.01,0.0,0.0,Nacoes Shopping,NS
2025-06-17 00:00:00,IPHONE,2.13,0,0.0,1608,0,0.0,3.43,0.0,0.0,Nacoes Shopping,NS
2025-06-17 00:00:00,IPAD,3.33,0,0.0,3,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-06-18 00:00:00,ANDROID,2.16,0,0.0,2815,0,0.0,6.09,0.0,0.0,Nacoes Shopping,NS
2025-06-18 00:00:00,IPHONE,2.43,0,0.0,1378,0,0.0,3.35,0.0,0.0,Nacoes Shopping,NS
2025-06-18 00:00:00,IPAD,0.0,0,0.0,2,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-19 00:00:00,ANDROID,2.22,0,0.0,2971,0,0.0,6.6,0.0,0.0,Nacoes Shopping,NS
2025-06-19 00:00:00,IPHONE,2.17,0,0.0,1619,0,0.0,3.51,0.0,0.0,Nacoes Shopping,NS
2025-06-19 00:00:00,IPAD,10.0,0,0.0,2,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-06-20 00:00:00,ANDROID,2.23,0,0.0,2552,0,0.0,5.7,0.0,0.0,Nacoes Shopping,NS
2025-06-20 00:00:00,IPHONE,2.08,0,0.0,1464,0,0.0,3.04,0.0,0.0,Nacoes Shopping,NS
2025-06-20 00:00:00,IPAD,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-21 00:00:00,ANDROID,2.22,0,0.0,2378,0,0.0,5.29,0.0,0.0,Nacoes Shopping,NS
2025-06-21 00:00:00,IPHONE,2.1,0,0.0,1441,0,0.0,3.03,0.0,0.0,Nacoes Shopping,NS
2025-06-22 00:00:00,ANDROID,2.17,0,0.0,2433,0,0.0,5.28,0.0,0.0,Nacoes Shopping,NS
2025-06-22 00:00:00,IPHONE,1.91,0,0.0,1488,0,0.0,2.84,0.0,0.0,Nacoes Shopping,NS
2025-06-22 00:00:00,IPAD,2.5,0,0.0,4,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-06-23 00:00:00,ANDROID,2.31,0,0.0,2156,0,0.0,4.97,0.0,0.0,Nacoes Shopping,NS
2025-06-23 00:00:00,IPHONE,2.06,0,0.0,1230,0,0.0,2.53,0.0,0.0,Nacoes Shopping,NS
2025-06-23 00:00:00,IPAD,10.0,0,0.0,1,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-06-24 00:00:00,ANDROID,2.41,0,0.0,1861,0,0.0,4.48,0.0,0.0,Nacoes Shopping,NS
2025-06-24 00:00:00,IPHONE,2.45,0,0.0,1023,0,0.0,2.51,0.0,0.0,Nacoes Shopping,NS
2025-06-24 00:00:00,IPAD,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-25 00:00:00,ANDROID,2.51,0,0.0,1604,0,0.0,4.03,0.0,0.0,Nacoes Shopping,NS
2025-06-25 00:00:00,IPHONE,2.55,0,0.0,971,0,0.0,2.48,0.0,0.0,Nacoes Shopping,NS
2025-06-25 00:00:00,IPAD,0.0,0,0.0,3,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-26 00:00:00,ANDROID,2.69,0,0.0,1416,0,0.0,3.81,0.0,0.0,Nacoes Shopping,NS
2025-06-26 00:00:00,IPHONE,2.46,0,0.0,785,0,0.0,1.93,0.0,0.0,Nacoes Shopping,NS
2025-06-26 00:00:00,IPAD,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-27 00:00:00,ANDROID,2.73,0,0.0,1888,0,0.0,5.15,0.0,0.0,Nacoes Shopping,NS
2025-06-27 00:00:00,IPHONE,2.52,0,0.0,1083,0,0.0,2.73,0.0,0.0,Nacoes Shopping,NS
2025-06-27 00:00:00,IPAD,0.0,0,0.0,5,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-28 00:00:00,ANDROID,2.85,0,0.0,2955,0,0.0,8.42,0.0,0.0,Nacoes Shopping,NS
2025-06-28 00:00:00,IPHONE,2.66,0,0.0,1852,0,0.0,4.93,0.0,0.0,Nacoes Shopping,NS
2025-06-28 00:00:00,IPAD,0.0,0,0.0,3,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-29 00:00:00,ANDROID,2.6,0,0.0,3153,0,0.0,8.2,0.0,0.0,Nacoes Shopping,NS
2025-06-29 00:00:00,IPHONE,2.49,0,0.0,1981,0,0.0,4.93,0.0,0.0,Nacoes Shopping,NS
2025-06-29 00:00:00,IPAD,0.0,0,0.0,3,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-06-30 00:00:00,ANDROID,2.35,0,0.0,6228,0,0.0,14.61,0.0,0.0,Nacoes Shopping,NS
2025-06-30 00:00:00,IPHONE,2.35,0,0.0,3692,0,0.0,8.69,0.0,0.0,Nacoes Shopping,NS
2025-06-30 00:00:00,IPAD,0.0,0,0.0,5,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-07-01 00:00:00,ANDROID,1.66,0,0.0,10529,0,0.0,17.47,0.0,0.0,Nacoes Shopping,NS
2025-07-01 00:00:00,IPHONE,1.65,0,0.0,6481,0,0.0,10.72,0.0,0.0,Nacoes Shopping,NS
2025-07-01 00:00:00,IPAD,2.0,0,0.0,10,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-07-02 00:00:00,ANDROID,1.74,0,0.0,9335,0,0.0,16.28,0.0,0.0,Nacoes Shopping,NS
2025-07-02 00:00:00,IPHONE,1.86,0,0.0,5656,0,0.0,10.52,0.0,0.0,Nacoes Shopping,NS
2025-07-02 00:00:00,IPAD,0.0,0,0.0,11,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-07-03 00:00:00,UNKNOWN,0.0,0,0.0,0,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-07-03 00:00:00,ANDROID,1.98,0,0.0,14725,0,0.0,29.18,0.0,0.0,Nacoes Shopping,NS
2025-07-03 00:00:00,IPHONE,2.07,0,0.0,7661,0,0.0,15.88,0.0,0.0,Nacoes Shopping,NS
2025-07-03 00:00:00,IPAD,2.78,0,0.0,18,0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
2025-07-04 00:00:00,ANDROID,1.98,0,0.0,16332,0,0.0,32.26,0.0,0.0,Nacoes Shopping,NS
2025-07-04 00:00:00,IPHONE,2.1,0,0.0,8726,0,0.0,18.31,0.0,0.0,Nacoes Shopping,NS
2025-07-04 00:00:00,IPAD,3.53,0,0.0,17,0,0.0,0.06,0.0,0.0,Nacoes Shopping,NS
2025-07-05 00:00:00,UNKNOWN,0.0,0,0.0,0,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-07-05 00:00:00,ANDROID,1.89,0,0.0,16732,0,0.0,31.56,0.0,0.0,Nacoes Shopping,NS
2025-07-05 00:00:00,IPHONE,1.91,0,0.0,9742,0,0.0,18.65,0.0,0.0,Nacoes Shopping,NS
2025-07-05 00:00:00,IPAD,3.53,0,0.0,17,0,0.0,0.06,0.0,0.0,Nacoes Shopping,NS
2025-07-06 00:00:00,ANDROID,1.89,0,0.0,16454,0,0.0,31.02,0.0,0.0,Nacoes Shopping,NS
2025-07-06 00:00:00,IPHONE,1.91,0,0.0,10209,0,0.0,19.47,0.0,0.0,Nacoes Shopping,NS
2025-07-06 00:00:00,IPAD,1.5,0,0.0,20,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-07-07 00:00:00,ANDROID,1.93,0,0.0,16156,0,0.0,31.2,0.0,0.0,Nacoes Shopping,NS
2025-07-07 00:00:00,IPHONE,1.88,0,0.0,9908,0,0.0,18.66,0.0,0.0,Nacoes Shopping,NS
2025-07-07 00:00:00,IPAD,2.31,0,0.0,26,0,0.0,0.06,0.0,0.0,Nacoes Shopping,NS
2025-07-08 00:00:00,ANDROID,1.96,0,0.0,15690,0,0.0,30.77,0.0,0.0,Nacoes Shopping,NS
2025-07-08 00:00:00,IPHONE,1.9,0,0.0,9165,0,0.0,17.37,0.0,0.0,Nacoes Shopping,NS
2025-07-08 00:00:00,IPAD,1.58,0,0.0,19,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-07-09 00:00:00,ANDROID,2.08,0,0.0,14674,0,0.0,30.48,0.0,0.0,Nacoes Shopping,NS
2025-07-09 00:00:00,IPHONE,2.0,0,0.0,8498,0,0.0,17.03,0.0,0.0,Nacoes Shopping,NS
2025-07-09 00:00:00,IPAD,3.08,0,0.0,13,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-07-10 00:00:00,ANDROID,2.03,0,0.0,14621,0,0.0,29.7,0.0,0.0,Nacoes Shopping,NS
2025-07-10 00:00:00,IPHONE,2.16,0,0.0,8472,0,0.0,18.27,0.0,0.0,Nacoes Shopping,NS
2025-07-10 00:00:00,IPAD,2.0,0,0.0,15,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-07-11 00:00:00,ANDROID,2.02,0,0.0,15309,0,0.0,30.85,0.0,0.0,Nacoes Shopping,NS
2025-07-11 00:00:00,IPHONE,2.03,0,0.0,8797,0,0.0,17.88,0.0,0.0,Nacoes Shopping,NS
2025-07-11 00:00:00,IPAD,1.54,0,0.0,13,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-07-12 00:00:00,ANDROID,1.91,0,0.0,15769,0,0.0,30.19,0.0,0.0,Nacoes Shopping,NS
2025-07-12 00:00:00,IPHONE,1.91,0,0.0,8905,0,0.0,17.05,0.0,0.0,Nacoes Shopping,NS
2025-07-12 00:00:00,IPAD,0.83,0,0.0,12,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-07-13 00:00:00,ANDROID,1.89,0,0.0,15287,0,0.0,28.85,0.0,0.0,Nacoes Shopping,NS
2025-07-13 00:00:00,IPHONE,1.88,0,0.0,9245,0,0.0,17.37,0.0,0.0,Nacoes Shopping,NS
2025-07-13 00:00:00,IPAD,1.76,0,0.0,17,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-07-14 00:00:00,ANDROID,1.82,0,0.0,16019,0,0.0,29.15,0.0,0.0,Nacoes Shopping,NS
2025-07-14 00:00:00,IPHONE,1.94,0,0.0,9748,0,0.0,18.9,0.0,0.0,Nacoes Shopping,NS
2025-07-14 00:00:00,IPAD,2.94,0,0.0,17,0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
2025-07-15 00:00:00,ANDROID,2.02,0,0.0,14733,0,0.0,29.72,0.0,0.0,Nacoes Shopping,NS
2025-07-15 00:00:00,IPHONE,1.99,0,0.0,8340,0,0.0,16.62,0.0,0.0,Nacoes Shopping,NS
2025-07-15 00:00:00,IPAD,1.25,0,0.0,16,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-07-16 00:00:00,ANDROID,2.34,0,0.0,20668,0,0.0,48.35,0.0,0.0,Nacoes Shopping,NS
2025-07-16 00:00:00,IPHONE,2.03,0,0.0,12024,0,0.0,24.41,0.0,0.0,Nacoes Shopping,NS
2025-07-16 00:00:00,IPAD,3.44,0,0.0,32,0,0.0,0.11,0.0,0.0,Nacoes Shopping,NS
2025-07-17 00:00:00,ANDROID,2.38,0,0.0,25598,0,0.0,60.96,0.0,0.0,Nacoes Shopping,NS
2025-07-17 00:00:00,IPHONE,2.1,0,0.0,16278,0,0.0,34.12,0.0,0.0,Nacoes Shopping,NS
2025-07-17 00:00:00,IPAD,3.61,0,0.0,36,0,0.0,0.13,0.0,0.0,Nacoes Shopping,NS
2025-07-18 00:00:00,ANDROID,2.43,0,0.0,40599,0,0.0,98.74,0.0,0.0,Nacoes Shopping,NS
2025-07-18 00:00:00,IPHONE,2.24,0,0.0,25227,0,0.0,56.63,0.0,0.0,Nacoes Shopping,NS
2025-07-18 00:00:00,IPAD,2.74,0,0.0,84,0,0.0,0.23,0.0,0.0,Nacoes Shopping,NS
2025-07-19 00:00:00,ANDROID,2.51,0,0.0,45738,0,0.0,114.75,0.0,0.0,Nacoes Shopping,NS
2025-07-19 00:00:00,IPHONE,2.29,0,0.0,27566,0,0.0,63.22,0.0,0.0,Nacoes Shopping,NS
2025-07-19 00:00:00,IPAD,2.43,0,0.0,107,0,0.0,0.26,0.0,0.0,Nacoes Shopping,NS
2025-07-20 00:00:00,ANDROID,2.41,0,0.0,30014,0,0.0,72.33,0.0,0.0,Nacoes Shopping,NS
2025-07-20 00:00:00,IPHONE,2.17,0,0.0,17861,0,0.0,38.79,0.0,0.0,Nacoes Shopping,NS
2025-07-20 00:00:00,IPAD,3.55,0,0.0,62,0,0.0,0.22,0.0,0.0,Nacoes Shopping,NS
2025-07-21 00:00:00,ANDROID,2.36,0,0.0,24760,0,0.0,58.55,0.0,0.0,Nacoes Shopping,NS
2025-07-21 00:00:00,IPHONE,2.1,0,0.0,15602,0,0.0,32.84,0.0,0.0,Nacoes Shopping,NS
2025-07-21 00:00:00,IPAD,0.83,0,0.0,36,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-07-21 00:00:00,WAP,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-07-22 00:00:00,ANDROID,2.31,0,0.0,23394,0,0.0,53.93,0.0,0.0,Nacoes Shopping,NS
2025-07-22 00:00:00,IPHONE,2.18,0,0.0,14672,0,0.0,31.92,0.0,0.0,Nacoes Shopping,NS
2025-07-22 00:00:00,IPAD,3.0,0,0.0,40,0,0.0,0.12,0.0,0.0,Nacoes Shopping,NS
2025-07-22 00:00:00,WAP,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-07-23 00:00:00,ANDROID,2.27,0,0.0,24668,0,0.0,55.96,0.0,0.0,Nacoes Shopping,NS
2025-07-23 00:00:00,IPHONE,2.21,0,0.0,14489,0,0.0,31.96,0.0,0.0,Nacoes Shopping,NS
2025-07-23 00:00:00,IPAD,2.24,0,0.0,49,0,0.0,0.11,0.0,0.0,Nacoes Shopping,NS
2025-07-24 00:00:00,ANDROID,2.26,0,0.0,22680,0,0.0,51.18,0.0,0.0,Nacoes Shopping,NS
2025-07-24 00:00:00,IPHONE,2.06,0,0.0,14110,0,0.0,29.04,0.0,0.0,Nacoes Shopping,NS
2025-07-24 00:00:00,IPAD,1.74,0,0.0,23,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-07-25 00:00:00,ANDROID,2.42,0,0.0,21091,0,0.0,50.99,0.0,0.0,Nacoes Shopping,NS
2025-07-25 00:00:00,IPHONE,2.17,0,0.0,13286,0,0.0,28.88,0.0,0.0,Nacoes Shopping,NS
2025-07-25 00:00:00,IPAD,1.48,0,0.0,27,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-07-26 00:00:00,ANDROID,2.48,0,0.0,19478,0,0.0,48.26,0.0,0.0,Nacoes Shopping,NS
2025-07-26 00:00:00,IPHONE,2.3,0,0.0,12676,0,0.0,29.1,0.0,0.0,Nacoes Shopping,NS
2025-07-26 00:00:00,IPAD,2.26,0,0.0,31,0,0.0,0.07,0.0,0.0,Nacoes Shopping,NS
2025-07-27 00:00:00,UNKNOWN,0.0,0,0.0,0,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-07-27 00:00:00,ANDROID,2.38,0,0.0,19441,0,0.0,46.34,0.0,0.0,Nacoes Shopping,NS
2025-07-27 00:00:00,IPHONE,2.12,0,0.0,11484,0,0.0,24.38,0.0,0.0,Nacoes Shopping,NS
2025-07-27 00:00:00,IPAD,2.41,0,0.0,29,0,0.0,0.07,0.0,0.0,Nacoes Shopping,NS
2025-07-28 00:00:00,ANDROID,2.18,0,0.0,17009,0,0.0,37.11,0.0,0.0,Nacoes Shopping,NS
2025-07-28 00:00:00,IPHONE,2.06,0,0.0,10871,0,0.0,22.41,0.0,0.0,Nacoes Shopping,NS
2025-07-28 00:00:00,IPAD,4.29,0,0.0,14,0,0.0,0.06,0.0,0.0,Nacoes Shopping,NS
2025-07-29 00:00:00,ANDROID,2.09,0,0.0,15926,0,0.0,33.31,0.0,0.0,Nacoes Shopping,NS
2025-07-29 00:00:00,IPHONE,2.11,0,0.0,9898,0,0.0,20.87,0.0,0.0,Nacoes Shopping,NS
2025-07-29 00:00:00,IPAD,3.33,0,0.0,15,0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
2025-07-29 00:00:00,WAP,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-07-30 00:00:00,ANDROID,2.22,0,0.0,11089,0,0.0,24.6,0.0,0.0,Nacoes Shopping,NS
2025-07-30 00:00:00,IPHONE,2.15,0,0.0,6513,0,0.0,14.0,0.0,0.0,Nacoes Shopping,NS
2025-07-30 00:00:00,IPAD,2.5,0,0.0,8,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-07-31 00:00:00,ANDROID,2.21,0,0.0,9210,0,0.0,20.31,0.0,0.0,Nacoes Shopping,NS
2025-07-31 00:00:00,IPHONE,2.18,0,0.0,5898,0,0.0,12.87,0.0,0.0,Nacoes Shopping,NS
2025-07-31 00:00:00,IPAD,0.83,0,0.0,12,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-08-01 00:00:00,ANDROID,1.88,0,0.0,13111,0,0.0,24.67,0.0,0.0,Nacoes Shopping,NS
2025-08-01 00:00:00,IPHONE,1.99,0,0.0,7829,0,0.0,15.6,0.0,0.0,Nacoes Shopping,NS
2025-08-01 00:00:00,IPAD,0.0,0,0.0,7,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-08-02 00:00:00,ANDROID,1.9,0,0.0,12795,0,0.0,24.28,0.0,0.0,Nacoes Shopping,NS
2025-08-02 00:00:00,IPHONE,1.91,0,0.0,8376,0,0.0,15.97,0.0,0.0,Nacoes Shopping,NS
2025-08-02 00:00:00,IPAD,0.29,0,0.0,34,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-08-03 00:00:00,ANDROID,1.86,0,0.0,12636,0,0.0,23.46,0.0,0.0,Nacoes Shopping,NS
2025-08-03 00:00:00,IPHONE,1.83,0,0.0,8414,0,0.0,15.43,0.0,0.0,Nacoes Shopping,NS
2025-08-03 00:00:00,IPAD,2.86,0,0.0,21,0,0.0,0.06,0.0,0.0,Nacoes Shopping,NS
2025-08-04 00:00:00,ANDROID,1.91,0,0.0,12012,0,0.0,22.98,0.0,0.0,Nacoes Shopping,NS
2025-08-04 00:00:00,IPHONE,1.94,0,0.0,7447,0,0.0,14.43,0.0,0.0,Nacoes Shopping,NS
2025-08-04 00:00:00,IPAD,0.0,0,0.0,13,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-08-05 00:00:00,ANDROID,2.07,0,0.0,10757,0,0.0,22.31,0.0,0.0,Nacoes Shopping,NS
2025-08-05 00:00:00,IPHONE,2.0,0,0.0,6836,0,0.0,13.65,0.0,0.0,Nacoes Shopping,NS
2025-08-05 00:00:00,IPAD,1.67,0,0.0,12,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-06 00:00:00,ANDROID,2.22,0,0.0,10913,0,0.0,24.19,0.0,0.0,Nacoes Shopping,NS
2025-08-06 00:00:00,IPHONE,2.22,0,0.0,5873,0,0.0,13.06,0.0,0.0,Nacoes Shopping,NS
2025-08-06 00:00:00,IPAD,0.56,0,0.0,18,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-08-07 00:00:00,ANDROID,2.05,0,0.0,11366,0,0.0,23.29,0.0,0.0,Nacoes Shopping,NS
2025-08-07 00:00:00,IPHONE,2.07,0,0.0,6818,0,0.0,14.13,0.0,0.0,Nacoes Shopping,NS
2025-08-07 00:00:00,IPAD,1.54,0,0.0,13,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-07 00:00:00,WAP,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-08-08 00:00:00,ANDROID,2.22,0,0.0,10904,0,0.0,24.19,0.0,0.0,Nacoes Shopping,NS
2025-08-08 00:00:00,IPHONE,2.11,0,0.0,6196,0,0.0,13.06,0.0,0.0,Nacoes Shopping,NS
2025-08-08 00:00:00,IPAD,2.22,0,0.0,9,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-09 00:00:00,ANDROID,2.15,0,0.0,10703,0,0.0,23.06,0.0,0.0,Nacoes Shopping,NS
2025-08-09 00:00:00,IPHONE,2.17,0,0.0,6671,0,0.0,14.47,0.0,0.0,Nacoes Shopping,NS
2025-08-09 00:00:00,IPAD,2.5,0,0.0,16,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-08-10 00:00:00,ANDROID,2.06,0,0.0,10870,0,0.0,22.43,0.0,0.0,Nacoes Shopping,NS
2025-08-10 00:00:00,IPHONE,2.04,0,0.0,7185,0,0.0,14.64,0.0,0.0,Nacoes Shopping,NS
2025-08-10 00:00:00,IPAD,1.18,0,0.0,17,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-11 00:00:00,ANDROID,2.04,0,0.0,10140,0,0.0,20.7,0.0,0.0,Nacoes Shopping,NS
2025-08-11 00:00:00,IPHONE,2.04,0,0.0,6777,0,0.0,13.84,0.0,0.0,Nacoes Shopping,NS
2025-08-11 00:00:00,IPAD,2.17,0,0.0,23,0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
2025-08-12 00:00:00,ANDROID,2.08,0,0.0,10305,0,0.0,21.44,0.0,0.0,Nacoes Shopping,NS
2025-08-12 00:00:00,IPHONE,2.17,0,0.0,6364,0,0.0,13.84,0.0,0.0,Nacoes Shopping,NS
2025-08-12 00:00:00,IPAD,2.35,0,0.0,17,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-08-13 00:00:00,ANDROID,2.01,0,0.0,10762,0,0.0,21.66,0.0,0.0,Nacoes Shopping,NS
2025-08-13 00:00:00,IPHONE,2.2,0,0.0,6163,0,0.0,13.57,0.0,0.0,Nacoes Shopping,NS
2025-08-13 00:00:00,IPAD,1.6,0,0.0,25,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-08-14 00:00:00,ANDROID,1.92,0,0.0,11030,0,0.0,21.18,0.0,0.0,Nacoes Shopping,NS
2025-08-14 00:00:00,IPHONE,1.93,0,0.0,7095,0,0.0,13.69,0.0,0.0,Nacoes Shopping,NS
2025-08-14 00:00:00,IPAD,2.22,0,0.0,9,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-15 00:00:00,ANDROID,2.04,0,0.0,10389,0,0.0,21.17,0.0,0.0,Nacoes Shopping,NS
2025-08-15 00:00:00,IPHONE,2.13,0,0.0,6389,0,0.0,13.58,0.0,0.0,Nacoes Shopping,NS
2025-08-15 00:00:00,IPAD,0.0,0,0.0,13,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-08-16 00:00:00,UNKNOWN,0.0,0,0.0,0,0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
2025-08-16 00:00:00,ANDROID,2.11,0,0.0,10362,0,0.0,21.86,0.0,0.0,Nacoes Shopping,NS
2025-08-16 00:00:00,IPHONE,2.04,0,0.0,6896,0,0.0,14.07,0.0,0.0,Nacoes Shopping,NS
2025-08-16 00:00:00,IPAD,1.43,0,0.0,21,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-08-17 00:00:00,ANDROID,2.03,0,0.0,9864,0,0.0,20.07,0.0,0.0,Nacoes Shopping,NS
2025-08-17 00:00:00,IPHONE,1.99,0,0.0,6680,0,0.0,13.26,0.0,0.0,Nacoes Shopping,NS
2025-08-17 00:00:00,IPAD,2.35,0,0.0,17,0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
2025-08-18 00:00:00,ANDROID,2.23,0,0.0,9044,0,0.0,20.2,0.0,0.0,Nacoes Shopping,NS
2025-08-18 00:00:00,IPHONE,2.0,0,0.0,5935,0,0.0,11.87,0.0,0.0,Nacoes Shopping,NS
2025-08-18 00:00:00,IPAD,1.25,0,0.0,16,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-19 00:00:00,ANDROID,2.32,0,0.0,9509,0,0.0,22.09,0.0,0.0,Nacoes Shopping,NS
2025-08-19 00:00:00,IPHONE,2.15,0,0.0,5001,0,0.0,10.77,0.0,0.0,Nacoes Shopping,NS
2025-08-19 00:00:00,IPAD,1.67,0,0.0,12,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-20 00:00:00,ANDROID,2.34,0,0.0,9131,0,0.0,21.33,0.0,0.0,Nacoes Shopping,NS
2025-08-20 00:00:00,IPHONE,2.36,0,0.0,4624,0,0.0,10.93,0.0,0.0,Nacoes Shopping,NS
2025-08-20 00:00:00,IPAD,2.94,0,0.0,17,0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
2025-08-20 00:00:00,WAP,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
2025-08-21 00:00:00,ANDROID,2.2,0,0.0,8618,0,0.0,18.94,0.0,0.0,Nacoes Shopping,NS
2025-08-21 00:00:00,IPHONE,2.19,0,0.0,5230,0,0.0,11.44,0.0,0.0,Nacoes Shopping,NS
2025-08-21 00:00:00,IPAD,2.73,0,0.0,11,0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
2025-08-22 00:00:00,ANDROID,2.38,0,0.0,7866,0,0.0,18.69,0.0,0.0,Nacoes Shopping,NS
2025-08-22 00:00:00,IPHONE,2.21,0,0.0,4628,0,0.0,10.25,0.0,0.0,Nacoes Shopping,NS
2025-08-22 00:00:00,IPAD,1.82,0,0.0,11,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-23 00:00:00,ANDROID,2.33,0,0.0,7987,0,0.0,18.58,0.0,0.0,Nacoes Shopping,NS
2025-08-23 00:00:00,IPHONE,2.16,0,0.0,4966,0,0.0,10.75,0.0,0.0,Nacoes Shopping,NS
2025-08-23 00:00:00,IPAD,2.86,0,0.0,7,0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
2025-08-24 00:00:00,ANDROID,2.13,0,0.0,7862,0,0.0,16.76,0.0,0.0,Nacoes Shopping,NS
2025-08-24 00:00:00,IPHONE,2.07,0,0.0,5136,0,0.0,10.62,0.0,0.0,Nacoes Shopping,NS
